Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2020년 06월 16일 13:33:07


날짜/시간 	 Wind_Driction 	 Wind_Speed
2020-06-16 13:33:07:180	245	0.2556521
2020-06-16 13:33:08:143	243	0.2496714
2020-06-16 13:33:09:157	243	0.1939559
2020-06-16 13:33:10:153	243	0.2157751
2020-06-16 13:33:11:160	271	0.3676693
2020-06-16 13:33:12:150	272	0.402904
2020-06-16 13:33:13:155	270	0.392162
2020-06-16 13:33:14:145	273	0.3528582
2020-06-16 13:33:15:147	265	0.3021508
2020-06-16 13:33:16:157	242	0.2483022
2020-06-16 13:33:17:145	242	0.2073789
2020-06-16 13:33:18:152	242	0
2020-06-16 13:33:19:156	242	0
2020-06-16 13:33:20:144	242	0
2020-06-16 13:33:21:136	242	0
2020-06-16 13:33:22:145	252	0.3022419
2020-06-16 13:33:23:148	256	0.2401875
2020-06-16 13:33:24:139	256	0
2020-06-16 13:33:25:142	256	0
2020-06-16 13:33:26:148	256	0
2020-06-16 13:33:27:154	256	0
2020-06-16 13:33:28:142	256	0
2020-06-16 13:33:29:149	256	0
2020-06-16 13:33:30:153	256	0
2020-06-16 13:33:31:144	256	0
2020-06-16 13:33:32:149	256	0
2020-06-16 13:33:33:143	262	0
2020-06-16 13:33:34:144	262	0
2020-06-16 13:33:35:153	262	0
2020-06-16 13:33:36:146	265	0.334431
2020-06-16 13:33:37:152	264	0.3277289
2020-06-16 13:33:38:157	261	0.3346073
2020-06-16 13:33:39:145	273	0.2222103
2020-06-16 13:33:40:153	35	0.8913401
2020-06-16 13:33:41:139	45	2.207346
2020-06-16 13:33:42:144	48	2.64022
2020-06-16 13:33:43:151	48	2.650225
2020-06-16 13:33:44:143	47	2.325213
2020-06-16 13:33:45:150	43	0.9067732
2020-06-16 13:33:46:156	25	0
2020-06-16 13:33:47:139	25	0
2020-06-16 13:33:48:150	25	0.2145514
2020-06-16 13:33:49:141	25	0
2020-06-16 13:33:50:140	25	0
2020-06-16 13:33:51:145	25	0
2020-06-16 13:33:52:138	25	0
2020-06-16 13:33:53:147	25	0.1987475
2020-06-16 13:33:54:137	25	0
2020-06-16 13:33:55:141	25	0
2020-06-16 13:33:56:145	25	0
2020-06-16 13:33:57:136	25	0
2020-06-16 13:33:58:140	25	0
2020-06-16 13:33:59:131	25	0
2020-06-16 13:34:00:135	25	0
2020-06-16 13:34:01:143	25	0
2020-06-16 13:34:02:129	25	0
2020-06-16 13:34:03:138	25	0
2020-06-16 13:34:04:141	25	0
2020-06-16 13:34:05:150	25	0
2020-06-16 13:34:06:151	25	0
2020-06-16 13:34:07:145	25	0
2020-06-16 13:34:08:148	25	0
2020-06-16 13:34:09:156	25	0
2020-06-16 13:34:10:143	25	0
2020-06-16 13:34:11:155	25	0.2459767
2020-06-16 13:34:12:146	254	0.2831475
2020-06-16 13:34:13:149	265	0.3198444
2020-06-16 13:34:14:139	271	0.4093769
2020-06-16 13:34:15:140	271	0.4692277
2020-06-16 13:34:16:147	268	0.4287029
2020-06-16 13:34:17:156	269	0.3749447
2020-06-16 13:34:18:146	267	0.3521696
2020-06-16 13:34:19:153	257	0.3883576
2020-06-16 13:34:20:141	250	0.3332045
2020-06-16 13:34:21:148	247	0.2223123
2020-06-16 13:34:22:153	247	0.2086833
2020-06-16 13:34:23:159	247	0.2280888
2020-06-16 13:34:24:160	250	0.2631802
2020-06-16 13:34:25:154	264	0.3620258
2020-06-16 13:34:26:144	284	0.3764473
2020-06-16 13:34:27:149	284	0.3864943
2020-06-16 13:34:28:143	279	0.516917
2020-06-16 13:34:29:367	285	0.4722578
2020-06-16 13:34:30:150	281	0.4135062
2020-06-16 13:34:31:137	272	0.5040411
2020-06-16 13:34:32:145	265	0.5835218
2020-06-16 13:34:33:148	259	0.5224341
2020-06-16 13:34:34:162	263	0.4482807
2020-06-16 13:34:35:145	261	0.480464
2020-06-16 13:34:36:153	250	0.4750471
2020-06-16 13:34:37:155	250	0.401313
2020-06-16 13:34:38:145	257	0.4092529
2020-06-16 13:34:39:135	258	0.4501547
2020-06-16 13:34:40:140	254	0.4112324
2020-06-16 13:34:41:147	246	0.3886067
2020-06-16 13:34:42:136	241	0.4296251
2020-06-16 13:34:43:143	241	0.496727
2020-06-16 13:34:44:148	244	0.5869583
2020-06-16 13:34:45:154	248	0.5833814
2020-06-16 13:34:46:144	259	0.4970643
2020-06-16 13:34:47:150	267	0.4690701
2020-06-16 13:34:48:141	273	0.4353303
2020-06-16 13:34:49:145	273	0.3839858
2020-06-16 13:34:50:150	274	0.3759564
2020-06-16 13:34:51:141	287	0.3251066
2020-06-16 13:34:52:147	300	0.3265696
2020-06-16 13:34:53:136	304	0.2920683
2020-06-16 13:34:54:143	304	0.2172076
2020-06-16 13:34:55:148	304	0.2421792
2020-06-16 13:34:56:142	291	0.2875652
2020-06-16 13:34:57:143	288	0.3099817
2020-06-16 13:34:58:154	290	0.3520091
2020-06-16 13:34:59:163	297	0.3321694
2020-06-16 13:35:00:153	300	0.3106796
2020-06-16 13:35:01:164	291	0.342853
2020-06-16 13:35:02:165	278	0.3704417
2020-06-16 13:35:03:154	285	0.2537191
