Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 03월 16일 14:32:57


날짜/시간 	 배터리전압 	 태양광전압
2021-03-16 14:32:57:536	0	0
2021-03-16 14:32:57:544	0	0
2021-03-16 14:32:58:530	0	0
2021-03-16 14:32:58:544	0	0
2021-03-16 14:32:59:533	0	0
2021-03-16 14:32:59:548	0	0
2021-03-16 14:33:00:532	0	0
2021-03-16 14:33:00:547	0	0
2021-03-16 14:33:01:533	0	0
2021-03-16 14:33:01:549	0	0
2021-03-16 14:33:02:537	0	0
2021-03-16 14:33:02:551	0	0
2021-03-16 14:33:03:537	0	0
2021-03-16 14:33:03:552	0	0
2021-03-16 14:33:04:539	0	0
2021-03-16 14:33:04:555	0	0
2021-03-16 14:33:05:539	0	0
2021-03-16 14:33:05:556	0	0
2021-03-16 14:33:06:543	0	0
2021-03-16 14:33:06:557	0	0
2021-03-16 14:33:07:543	0	0
2021-03-16 14:33:07:567	0	0
2021-03-16 14:33:08:543	0	0
2021-03-16 14:33:08:559	0	0
2021-03-16 14:33:09:545	0	0
2021-03-16 14:33:09:562	0	0
2021-03-16 14:33:10:549	0	0
2021-03-16 14:33:10:562	0	0
2021-03-16 14:33:11:549	0	0
2021-03-16 14:33:11:564	0	0
2021-03-16 14:33:12:551	0	0
2021-03-16 14:33:12:565	0	0
2021-03-16 14:33:13:551	0	0
2021-03-16 14:33:13:567	0	0
2021-03-16 14:33:14:553	0	0
2021-03-16 14:33:14:568	0	0
2021-03-16 14:33:15:554	0	0
2021-03-16 14:33:15:571	0	0
2021-03-16 14:33:16:555	0	0
2021-03-16 14:33:16:571	0	0
2021-03-16 14:33:17:556	0	0
2021-03-16 14:33:17:573	0	0
2021-03-16 14:33:18:560	0	0
2021-03-16 14:33:18:576	0	0
2021-03-16 14:33:19:562	0	0
2021-03-16 14:33:19:605	0	0
2021-03-16 14:33:20:562	0	0
2021-03-16 14:33:20:577	0	0
2021-03-16 14:33:21:565	0	0
2021-03-16 14:33:21:580	0	0
2021-03-16 14:33:22:565	0	0
2021-03-16 14:33:22:581	0	0
2021-03-16 14:33:23:569	0	0
2021-03-16 14:33:23:582	0	0
2021-03-16 14:33:24:568	0	0
2021-03-16 14:33:24:584	0	0
2021-03-16 14:33:25:570	0	0
2021-03-16 14:33:25:587	0	0
2021-03-16 14:33:26:573	0	0
2021-03-16 14:33:26:586	0	0
2021-03-16 14:33:27:573	0	0
2021-03-16 14:33:27:588	0	0
2021-03-16 14:33:28:576	0	0
2021-03-16 14:33:28:591	0	0
2021-03-16 14:33:29:577	0	0
2021-03-16 14:33:29:592	0	0
2021-03-16 14:33:30:580	0	0
2021-03-16 14:33:30:593	0	0
2021-03-16 14:33:31:579	0	0
2021-03-16 14:33:31:596	0	0
2021-03-16 14:33:32:580	0	0
2021-03-16 14:33:32:595	0	0
2021-03-16 14:33:33:582	0	0
2021-03-16 14:33:33:597	0	0
2021-03-16 14:33:34:584	0	0
2021-03-16 14:33:34:597	0	0
2021-03-16 14:33:35:586	0	0
2021-03-16 14:33:35:600	0	0
2021-03-16 14:33:36:587	0	0
2021-03-16 14:33:36:600	0	0
2021-03-16 14:33:37:587	0	0
2021-03-16 14:33:37:602	0	0
2021-03-16 14:33:38:590	0	0
