Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 04월 15일 16:16:24


날짜/시간 	 #1주변온도 	 #1물체온도 	 #2주변온도 	 #2물체온도 
2021-04-15 16:16:24:284	27.2	21.9	0	0
2021-04-15 16:16:25:268	27.3	22	0	0
2021-04-15 16:16:26:268	27.4	21.9	0	0
2021-04-15 16:16:27:283	27.4	21.8	0	0
2021-04-15 16:16:28:268	27.5	21.8	0	0
2021-04-15 16:16:29:283	27.6	21.8	0	0
2021-04-15 16:16:30:283	27.6	21.8	0	0
2021-04-15 16:16:31:282	27.8	21.7	0	0
2021-04-15 16:16:32:282	27.7	21.6	0	0
2021-04-15 16:16:33:298	27.5	21.5	0	0
2021-04-15 16:16:34:282	27.6	21.4	0	0
2021-04-15 16:16:35:298	27.7	21.4	0	0
2021-04-15 16:16:36:290	27.7	0.2	0	0
2021-04-15 16:16:37:298	27.8	21.6	0	0
2021-04-15 16:16:38:305	27.9	21.6	0	0
2021-04-15 16:16:39:319	27.9	21.6	0	0
2021-04-15 16:16:40:305	28.2	21.9	0	0
2021-04-15 16:16:41:312	28.4	21.9	0	0
2021-04-15 16:16:42:305	28.5	21.8	0	0
2021-04-15 16:16:43:311	28.3	21.8	0	0
2021-04-15 16:16:44:319	28.3	21.8	0	0
2021-04-15 16:16:45:312	28.4	21.6	0	0
2021-04-15 16:16:46:319	28.4	21.5	0	0
2021-04-15 16:16:47:327	28.8	21.5	0	0
2021-04-15 16:16:48:319	28.9	21.2	0	0
2021-04-15 16:16:49:318	28.9	21.2	0	0
2021-04-15 16:16:50:334	29	21.2	0	0
2021-04-15 16:16:51:318	29.3	21.2	0	0
2021-04-15 16:16:52:333	29.4	21.2	0	0
2021-04-15 16:16:53:333	29.4	21.2	0	0
2021-04-15 16:16:54:333	29.5	21.2	0	0
2021-04-15 16:16:55:333	29.2	20.9	0	0
2021-04-15 16:16:56:348	29.3	20.7	0	0
2021-04-15 16:16:57:332	29.3	20.7	0	0
2021-04-15 16:16:58:347	29.4	20.4	0	0
2021-04-15 16:16:59:347	29.4	20.2	0	0
2021-04-15 16:17:00:347	29.5	20	0	0
2021-04-15 16:17:01:347	29.5	20	0	0
2021-04-15 16:17:02:362	29.6	20	0	0
2021-04-15 16:17:03:346	29.8	20.2	0	0
2021-04-15 16:17:04:362	29.9	20.4	0	0
2021-04-15 16:17:05:361	29.9	20.4	0	0
2021-04-15 16:17:06:361	30	20.5	0	0
2021-04-15 16:17:07:361	30	20.7	0	0
2021-04-15 16:17:08:376	30.1	20.9	0	0
2021-04-15 16:17:09:361	30.1	20.9	0	0
2021-04-15 16:17:10:376	30.2	20.8	0	0
2021-04-15 16:17:11:376	30	20.8	0	0
2021-04-15 16:17:12:375	30.2	20.8	0	0
2021-04-15 16:17:13:375	30.2	20.8	0	0
2021-04-15 16:17:14:391	30.3	21	0	0
2021-04-15 16:17:15:375	30.3	21	0	0
2021-04-15 16:17:16:390	30.4	21	0	0
2021-04-15 16:17:17:390	30.4	21	0	0
2021-04-15 16:17:18:390	30.5	21	0	0
2021-04-15 16:17:19:390	30.5	20.9	0	0
2021-04-15 16:17:20:405	30.4	20.9	0	0
2021-04-15 16:17:21:389	30.5	20.9	0	0
2021-04-15 16:17:22:405	30.5	20.9	0	0
2021-04-15 16:17:23:404	30.5	20.9	0	0
2021-04-15 16:17:24:404	30.6	20.9	0	0
2021-04-15 16:17:25:404	30.7	20.9	0	0
2021-04-15 16:17:26:419	30.7	20.9	0	0
2021-04-15 16:17:27:403	30.8	21	0	0
2021-04-15 16:17:28:419	30.8	21	0	0
2021-04-15 16:17:29:419	30.9	21	0	0
2021-04-15 16:17:30:418	30.9	21	0	0
2021-04-15 16:17:31:418	31	21	0	0
2021-04-15 16:17:32:433	31	21	0	0
2021-04-15 16:17:34:433	31	20.9	0	0
2021-04-15 16:17:35:440	31.1	20.9	0	0
