Road Temp Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2021년 07월 14일 13:41:46


날짜/시간 	 #1대기온도 	 #1대기습도 	 #1물체온도
2021-07-14 13:41:47:139	24.4	66.1	24.7
2021-07-14 13:41:47:182	24.4	65.8	24.7
2021-07-14 13:41:47:594	24.4	65.8	24.7
2021-07-14 13:41:48:599	24.4	65.8	24.7
2021-07-14 13:41:49:599	24.4	65.8	24.7
2021-07-14 13:41:50:599	24.4	65.7	24.7
2021-07-14 13:41:51:599	24.4	65.7	24.7
2021-07-14 13:41:52:598	24.4	65.7	24.6
2021-07-14 13:41:53:598	24.4	65.7	24.6
2021-07-14 13:41:54:598	24.4	65.6	24.6
2021-07-14 13:41:55:598	24.4	65.6	24.6
2021-07-14 13:41:56:599	24.4	65.6	24.6
2021-07-14 13:41:57:599	24.4	65.6	24.6
2021-07-14 13:41:58:598	24.4	65.5	24.6
2021-07-14 13:54:00:121	24.3	66.1	24.3
2021-07-14 13:54:02:107	24.3	66	24.3
2021-07-14 13:54:05:091	24.3	66	24.3
2021-07-14 13:54:08:106	24.3	65.9	24.5
2021-07-14 13:54:09:104	24.3	65.8	24.5
2021-07-14 13:54:10:119	24.3	65.8	24.5
2021-07-14 13:54:11:103	24.3	65.8	24.6
2021-07-14 13:54:12:118	24.3	65.8	24.6
2021-07-14 13:54:13:105	24.3	65.7	24.6
2021-07-14 13:54:14:104	24.3	65.7	24.6
2021-07-14 13:54:15:104	24.3	65.7	24.6
2021-07-14 13:54:16:104	24.3	65.7	24.6
2021-07-14 13:54:17:104	24.3	65.6	24.7
2021-07-14 13:54:18:103	24.3	65.6	24.8
2021-07-14 13:54:20:072	24.3	65.6	24.8
2021-07-14 13:54:24:104	24.3	65.5	24.9
2021-07-14 13:54:25:104	24.3	65.5	24.9
2021-07-14 13:54:26:104	24.3	65.5	24.9
2021-07-14 13:54:27:103	24.3	65.4	24.9
2021-07-14 13:54:28:103	24.3	65.4	24.9
2021-07-14 13:54:29:103	24.3	65.4	24.9
2021-07-14 13:54:30:103	24.3	65.4	24.9
2021-07-14 13:54:31:102	24.3	65.3	25
2021-07-14 13:54:32:102	24.3	65.3	25
2021-07-14 13:54:33:102	24.3	65.3	25
2021-07-14 13:54:34:102	24.3	65.3	25
2021-07-14 13:54:35:103	24.3	65.3	24.9
2021-07-14 13:54:36:103	24.3	65.3	24.9
2021-07-14 13:54:37:103	24.3	65.3	24.9
2021-07-14 13:54:38:102	24.3	65.3	24.9
2021-07-14 13:54:39:102	24.3	65.3	24.9
2021-07-14 13:54:40:102	24.3	65.3	24.9
2021-07-14 13:54:41:102	24.3	65.4	24.9
2021-07-14 13:54:42:101	24.3	65.4	24.9
2021-07-14 13:54:43:101	24.3	65.5	24.9
2021-07-14 13:54:44:101	24.3	65.5	24.9
2021-07-14 13:54:46:087	24.3	65.6	24.9
2021-07-14 13:54:49:086	24.3	65.6	24.9
2021-07-14 13:54:53:085	24.3	65.6	24.9
2021-07-14 13:55:00:117	24.3	65.6	25.3
2021-07-14 13:55:01:101	24.3	65.6	25.3
2021-07-14 13:55:02:116	24.3	65.6	25.8
2021-07-14 13:55:04:084	24.3	65.6	26.4
2021-07-14 13:55:07:099	24.3	65.6	26.8
2021-07-14 13:55:08:101	24.3	65.6	26.7
2021-07-14 13:55:09:111	24.3	65.7	26.7
2021-07-14 13:55:10:097	24.3	65.7	26.3
2021-07-14 13:55:12:081	24.3	65.7	25.7
2021-07-14 13:55:15:111	24.3	65.7	25.1
2021-07-14 13:55:16:095	24.3	65.7	25.1
2021-07-14 13:55:17:111	24.3	65.8	25.1
2021-07-14 13:55:18:095	24.3	65.8	25.1
2021-07-14 13:55:19:096	24.3	65.8	25.1
2021-07-14 13:55:20:096	24.3	65.8	25.1
2021-07-14 13:55:21:096	24.3	65.8	25.1
2021-07-14 13:55:22:096	24.3	65.8	25.1
2021-07-14 13:55:23:095	24.3	65.8	25.1
2021-07-14 13:55:24:095	24.3	65.8	25.1
2021-07-14 13:55:25:095	24.3	65.9	25.1
2021-07-14 13:55:26:095	24.3	65.9	25.1
2021-07-14 13:55:27:094	24.3	65.9	25.1
2021-07-14 13:55:28:094	24.3	65.9	25.1
2021-07-14 13:55:29:094	24.3	65.9	25.1
2021-07-14 13:55:30:096	24.3	65.9	25.1
2021-07-14 13:55:31:095	24.3	66	25.1
2021-07-14 13:55:32:095	24.3	66	25.1
2021-07-14 13:55:33:095	24.3	66	25.1
2021-07-14 13:55:34:095	24.3	66	25.1
2021-07-14 13:55:35:095	24.4	66.1	25.1
2021-07-14 13:55:36:094	24.4	66.1	25.1
2021-07-14 13:55:37:094	24.3	66.1	25.1
2021-07-14 13:55:38:094	24.3	66.1	25.1
2021-07-14 13:55:39:094	24.3	66.2	25.1
2021-07-14 13:55:40:093	24.3	66.2	25.1
2021-07-14 13:55:41:095	24.3	66.2	25.1
2021-07-14 13:55:42:095	24.3	66.2	25.1
2021-07-14 13:55:43:095	24.3	66.2	25.1
2021-07-14 13:55:44:095	24.3	66.2	25.1
2021-07-14 13:55:45:094	24.4	66.3	25.1
2021-07-14 13:55:46:094	24.4	66.3	25.1
2021-07-14 13:55:47:094	24.3	66.3	25.1
2021-07-14 13:55:48:094	24.3	66.3	25
2021-07-14 13:55:50:078	24.4	66.4	25
2021-07-14 13:55:53:095	24.3	66.4	25
2021-07-14 13:55:54:095	24.3	66.4	25.1
2021-07-14 13:55:55:094	24.3	66.4	25.1
2021-07-14 13:55:56:094	24.3	66.4	25.1
2021-07-14 13:55:57:094	24.4	66.4	25.2
2021-07-14 13:55:58:094	24.4	66.4	25.1
2021-07-14 13:55:59:109	24.4	66.4	25.1
2021-07-14 13:56:00:093	24.4	66.4	25.1
2021-07-14 13:56:01:109	24.3	66.4	25
2021-07-14 13:56:02:093	24.3	66.4	25
2021-07-14 13:56:04:079	24.4	66.4	25
2021-07-14 13:56:07:094	24.3	66.4	25
2021-07-14 13:56:08:093	24.3	66.4	25
2021-07-14 13:56:09:096	24.3	66.3	25
2021-07-14 13:56:10:096	24.3	66.3	25
2021-07-14 13:56:11:096	24.4	66.2	25
2021-07-14 13:56:12:095	24.4	66.2	25
2021-07-14 13:56:13:095	24.3	66.1	25
2021-07-14 13:56:14:097	24.3	66.1	25
2021-07-14 13:56:16:081	24.4	66	25
2021-07-14 13:56:20:080	24.4	65.8	25
2021-07-14 13:56:26:112	24.3	65.5	24.9
2021-07-14 13:56:27:096	24.4	65.5	24.9
2021-07-14 13:56:28:096	24.4	65.5	24.9
2021-07-14 13:56:29:095	24.4	65.4	24.9
2021-07-14 13:56:31:079	24.4	65.4	24.8
2021-07-14 13:56:34:110	24.4	65.4	24.9
2021-07-14 13:56:35:094	24.4	65.3	24.9
2021-07-14 13:56:36:112	24.4	65.3	25
2021-07-14 13:56:37:112	24.4	65.3	25
2021-07-14 13:56:38:096	24.4	65.3	25.1
2021-07-14 13:56:39:112	24.4	65.3	25.1
2021-07-14 13:56:40:096	24.4	65.3	25.1
2021-07-14 13:56:41:111	24.4	65.4	25.1
2021-07-14 13:56:42:096	24.4	65.4	25
2021-07-14 13:56:44:080	24.4	65.5	25
2021-07-14 13:56:47:112	24.4	65.8	24.9
2021-07-14 13:56:48:097	24.4	65.8	24.9
2021-07-14 13:56:49:097	24.4	65.9	24.9
2021-07-14 13:56:50:096	24.4	65.9	24.9
2021-07-14 13:56:51:096	24.4	66.1	24.9
2021-07-14 13:56:52:096	24.4	66.1	24.8
2021-07-14 13:56:53:111	24.4	66.3	24.8
2021-07-14 13:56:54:095	24.4	66.3	24.9
2021-07-14 13:56:55:111	24.4	66.4	24.8
2021-07-14 13:56:56:095	24.4	66.4	24.8
2021-07-14 13:56:57:110	24.4	66.5	24.8
2021-07-14 13:56:58:096	24.4	66.5	24.8
2021-07-14 13:56:59:096	24.4	66.5	24.8
2021-07-14 13:57:00:096	24.4	66.5	24.8
2021-07-14 13:57:01:111	24.4	66.6	24.8
2021-07-14 13:57:02:111	24.4	66.6	24.8
2021-07-14 13:57:03:110	24.4	66.7	24.8
2021-07-14 13:57:04:095	24.4	66.7	24.9
2021-07-14 13:57:05:110	24.4	66.7	24.9
2021-07-14 13:57:06:094	24.4	66.7	24.9
2021-07-14 13:57:07:110	24.4	66.8	24.9
2021-07-14 13:57:08:094	24.4	66.8	24.9
2021-07-14 13:57:09:106	24.4	66.8	24.9
2021-07-14 13:57:10:106	24.4	66.8	24.9
2021-07-14 13:57:11:106	24.4	66.9	24.9
2021-07-14 13:57:12:105	24.4	66.9	24.9
2021-07-14 13:57:13:105	24.4	66.8	24.9
2021-07-14 13:57:14:105	24.4	66.8	24.8
2021-07-14 13:57:15:105	24.4	66.7	24.9
2021-07-14 13:57:16:104	24.4	66.7	24.9
2021-07-14 13:57:17:104	24.4	66.7	24.9
2021-07-14 13:57:18:104	24.4	66.7	24.9
2021-07-14 13:57:19:104	24.4	66.7	25
2021-07-14 13:57:20:106	24.4	66.7	25
2021-07-14 13:57:21:106	24.4	66.6	25.1
2021-07-14 13:57:22:106	24.4	66.6	25.1
2021-07-14 13:57:23:106	24.4	66.6	25.1
2021-07-14 13:57:24:106	24.4	66.6	25.1
2021-07-14 13:57:25:105	24.4	66.6	25.1
2021-07-14 13:57:26:105	24.4	66.6	25.1
2021-07-14 13:57:27:105	24.4	66.6	25.1
2021-07-14 13:57:28:105	24.4	66.6	25.1
2021-07-14 13:57:29:104	24.4	66.6	25.1
2021-07-14 13:57:30:104	24.4	66.6	25.1
2021-07-14 13:57:31:121	24.4	66.6	25.1
2021-07-14 13:57:32:106	24.4	66.6	25.1
2021-07-14 13:57:33:121	24.4	66.6	25.1
2021-07-14 13:57:34:105	24.4	66.6	25.1
2021-07-14 13:57:35:120	24.4	66.6	25.5
2021-07-14 13:57:36:105	24.4	66.6	25.4
2021-07-14 13:57:37:104	24.4	66.6	25.4
2021-07-14 13:57:39:086	24.4	66.6	25.6
2021-07-14 13:57:42:118	24.4	66.7	26.3
2021-07-14 13:57:43:102	24.4	66.8	25.9
2021-07-14 13:57:44:102	24.4	66.8	25.9
2021-07-14 13:57:45:102	24.4	67	25.9
2021-07-14 13:57:47:083	24.4	67	25.7
2021-07-14 13:57:49:098	24.4	67.5	25.2
2021-07-14 13:57:50:098	24.4	67.5	25
2021-07-14 13:57:51:097	24.4	67.8	25.1
2021-07-14 13:57:52:097	24.4	67.8	25.1
2021-07-14 13:57:53:100	24.4	68	25.1
2021-07-14 13:57:54:099	24.4	68	25.1
2021-07-14 13:57:55:099	24.4	68.1	25.1
2021-07-14 13:57:56:114	24.4	68.1	25.1
2021-07-14 13:57:57:114	24.4	68.2	25
2021-07-14 13:57:58:114	24.4	68.2	25
2021-07-14 13:57:59:098	24.4	68.2	25
2021-07-14 13:58:00:113	24.4	68.2	25
2021-07-14 13:58:01:098	24.4	68.1	25
2021-07-14 13:58:02:113	24.4	68.1	25.1
2021-07-14 13:58:04:083	24.4	68	25
2021-07-14 13:58:06:114	24.4	67.9	25.1
2021-07-14 13:58:07:098	24.4	67.9	25.1
2021-07-14 13:58:08:098	24.4	67.9	25.1
2021-07-14 13:58:09:119	24.4	67.9	25.1
2021-07-14 13:58:10:110	24.4	67.9	25.1
2021-07-14 13:58:11:125	24.4	67.9	25.1
2021-07-14 13:58:12:141	24.4	67.9	25.1
2021-07-14 13:58:13:141	24.4	67.9	25.1
2021-07-14 13:58:14:140	24.4	67.9	25.1
2021-07-14 13:58:15:142	24.4	67.9	25.1
2021-07-14 13:58:16:141	24.4	67.9	25.1
2021-07-14 13:58:17:141	24.4	67.9	25.1
2021-07-14 13:58:18:141	24.4	67.9	25.1
2021-07-14 13:58:19:141	24.4	67.9	25.1
2021-07-14 13:58:20:156	24.4	67.9	25.1
2021-07-14 13:58:21:156	24.4	67.8	25.1
2021-07-14 13:58:22:156	24.4	67.8	25.1
2021-07-14 13:58:23:155	24.4	67.8	25.1
2021-07-14 13:58:24:155	24.4	67.8	25.1
2021-07-14 13:58:25:155	24.4	67.7	25.2
2021-07-14 13:58:26:188	24.4	67.7	25.1
2021-07-14 13:58:27:188	24.4	67.6	25.1
2021-07-14 13:58:28:188	24.4	67.6	25.1
2021-07-14 13:58:29:188	24.5	67.6	25.1
2021-07-14 13:58:30:203	24.5	67.6	25.1
2021-07-14 13:58:32:171	24.4	67.6	25
2021-07-14 13:58:37:188	24.4	67.6	25
2021-07-14 13:58:40:218	24.5	67.7	25.1
2021-07-14 13:58:41:203	24.5	67.8	25.1
2021-07-14 13:58:42:218	24.5	67.8	25.1
2021-07-14 13:58:43:202	24.5	67.8	25.1
