Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 06월 24일 16:46:40


날짜 	시간 	X축 	Y축 	Z축 	방위 
2025-06-24	16:46:40[019]	78	-57	29	323.841814560192
2025-06-24	16:46:40[036]	83	-54	23	326.951875130025
2025-06-24	16:46:40[066]	75	-65	27	319.085616779975
2025-06-24	16:46:40[095]	82	-59	31	324.264523985133
2025-06-24	16:46:40[129]	85	-61	31	324.334998463138
2025-06-24	16:46:40[162]	75	-57	33	322.765166018425
2025-06-24	16:46:40[182]	81	-54	28	326.30993247402
2025-06-24	16:46:40[212]	84	-59	29	324.916526120907
2025-06-24	16:46:40[242]	81	-60	29	323.471144633015
2025-06-24	16:46:40[268]	83	-54	25	326.951875130025
2025-06-24	16:46:40[309]	84	-60	22	324.462322208026
2025-06-24	16:46:40[325]	78	-56	25	324.323591778138
2025-06-24	16:46:40[355]	81	-65	25	321.254032743916
2025-06-24	16:46:40[388]	87	-60	27	325.40771131249
2025-06-24	16:46:40[421]	85	-54	22	327.572445004228
2025-06-24	16:46:40[451]	84	-60	23	324.462322208026
2025-06-24	16:46:40[481]	91	-54	26	329.314826910405
2025-06-24	16:46:40[498]	84	-56	27	326.30993247402
2025-06-24	16:46:40[521]	84	-54	29	327.264773727892
2025-06-24	16:46:40[554]	85	-51	31	329.036243467926
2025-06-24	16:46:40[594]	82	-56	25	325.669782804497
2025-06-24	16:46:40[624]	83	-56	24	325.992507580268
2025-06-24	16:46:40[638]	84	-54	27	327.264773727892
2025-06-24	16:46:40[681]	87	-51	26	329.620873988632
2025-06-24	16:46:40[934]	85	-56	21	326.62216796357
2025-06-24	16:46:40[934]	92	-55	25	329.12791663692
2025-06-24	16:46:40[934]	85	-55	34	327.094757077012
2025-06-24	16:46:40[934]	94	-51	27	331.51781425296
2025-06-24	16:46:40[934]	88	-46	25	332.402704131356
2025-06-24	16:46:40[934]	87	-47	23	331.620756913892
2025-06-24	16:46:40[934]	89	-49	27	331.164499152257
2025-06-24	16:46:40[934]	89	-54	16	328.753070586523
2025-06-24	16:46:40[934]	97	-55	21	330.446316367693
2025-06-24	16:46:40[968]	96	-47	13	333.914400221719
2025-06-24	16:46:40[988]	101	-40	7	338.394472757362
2025-06-24	16:46:41[011]	106	-39	2	339.800193378566
2025-06-24	16:46:41[044]	116	-36	-9	342.75854060106
2025-06-24	16:46:42[932]	134	-34	-40	345.762719534239
2025-06-24	16:46:42[932]	147	-17	-77	353.403261702106
2025-06-24	16:46:42[932]	148	-7	-150	357.292082514134
2025-06-24	16:46:42[932]	121	-11	-222	354.805571092265
2025-06-24	16:46:42[932]	59	-28	-252	334.612093708904
2025-06-24	16:46:42[932]	-3	-42	-238	265.914383220025
2025-06-24	16:46:42[932]	-47	-58	-176	230.980599524763
2025-06-24	16:46:42[932]	-57	-68	-103	230.029073581785
2025-06-24	16:46:42[932]	-61	-65	-40	226.818302964452
2025-06-24	16:46:42[932]	-29	-73	12	248.33404127671
2025-06-24	16:46:42[932]	-14	-66	45	258.023867555797
2025-06-24	16:46:42[932]	20	-66	57	286.858398767738
2025-06-24	16:46:42[932]	46	-59	62	307.942153350119
2025-06-24	16:46:42[932]	55	-59	59	312.990446186979
2025-06-24	16:46:42[932]	57	-60	63	313.531199285614
2025-06-24	16:46:42[932]	65	-61	51	316.818302964452
