Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 08월 12일 15:24:51


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h)
2025-08-12	15:24:51[282]	5376	-27648	-19712	281.00354085175	0	0
2025-08-12	15:24:51[285]	6400	-27392	-19968	283.150948680945	0	0
2025-08-12	15:24:51[285]	5632	-26880	-19968	281.833645306161	0	0
2025-08-12	15:24:51[286]	7680	-27136	-20992	285.802513953936	0	0
2025-08-12	15:24:51[286]	6144	-28672	-19712	282.094757077012	0	0
2025-08-12	15:24:51[287]	5888	-28160	-19968	281.809882957028	0	0
2025-08-12	15:24:51[287]	7936	-28928	-20224	285.340890764005	0	0
2025-08-12	15:24:51[287]	6656	-27904	-20480	283.416183481841	0	0
2025-08-12	15:24:51[288]	5888	-28416	-21504	281.706436729153	0	0
2025-08-12	15:24:51[289]	6656	-28160	-19200	283.298570330494	0	0
2025-08-12	15:24:51[289]	7680	-28416	-20224	285.124007308311	0	0
2025-08-12	15:24:51[290]	5888	-27392	-21248	282.131321066632	0	0
2025-08-12	15:24:51[290]	6144	-28416	-20736	282.200468727381	0	0
2025-08-12	15:24:51[290]	6400	-26624	-21248	283.516568108791	0	0
2025-08-12	15:24:51[291]	5120	-28416	-21760	280.21397298507	0	0
2025-08-12	15:24:51[291]	6144	-28160	-21504	282.308015817428	0	0
2025-08-12	15:24:51[292]	5120	-27648	-20480	280.491477012332	0	0
2025-08-12	15:24:51[343]	7424	-27904	-20736	284.8986954344	0	0
2025-08-12	15:24:51[439]	7168	-27648	-20480	284.53445508054	0	0
2025-08-12	15:24:51[534]	5376	-28160	-20224	280.80823094032	0	0
2025-08-12	15:24:51[631]	6912	-28160	-20224	283.790866897361	0	0
2025-08-12	15:24:51[726]	6912	-27904	-19712	283.91249467652	0	0
2025-08-12	15:24:51[823]	7168	-28672	-20224	284.036243467926	0	0
2025-08-12	15:24:51[919]	5888	-28928	-20480	281.504815326259	0	0
2025-08-12	15:24:52[030]	6656	-27392	-21248	283.657642505812	0	0
2025-08-12	15:24:52[128]	5120	-28672	-20224	280.124671655398	0	0
2025-08-12	15:24:52[223]	5376	-28160	-19712	280.80823094032	0	0
2025-08-12	15:24:52[318]	6400	-27648	-20992	283.033356325914	0	0
2025-08-12	15:24:52[414]	7424	-27904	-18688	284.8986954344	0	0
2025-08-12	15:24:52[522]	6656	-26624	-21248	284.036243467926	0	0
2025-08-12	15:24:52[619]	6144	-27136	-19968	282.757532160877	0	0
2025-08-12	15:24:52[714]	6144	-27392	-20480	282.64215232789	0	0
2025-08-12	15:24:52[810]	6144	-27904	-20992	282.417445790076	0	0
2025-08-12	15:24:52[908]	6144	-29184	-20736	281.888658039628	0	0
2025-08-12	15:24:53[003]	7168	-29952	-19968	283.458684608615	0	0
2025-08-12	15:24:53[110]	6656	-27392	-20736	283.657642505812	0	0
2025-08-12	15:24:53[206]	5632	-27648	-19968	281.513831184487	0	0
2025-08-12	15:24:53[302]	6400	-28160	-20992	282.804266065287	0	0
2025-08-12	15:24:53[398]	6400	-28672	-20480	282.582962494077	0	0
2025-08-12	15:24:53[494]	6400	-27648	-18944	283.033356325914	0	0
2025-08-12	15:24:54[229]	7168	-28160	-20224	284.281095735971	0	0
2025-08-12	15:24:54[229]	6400	-28928	-19968	282.475109712209	0	0
2025-08-12	15:24:54[230]	6400	-28160	-20480	282.804266065287	0	0
2025-08-12	15:24:54[230]	4352	-28672	-22272	278.630801788548	0	0
2025-08-12	15:24:54[230]	-1280	32000	-31232	92.2906100426385	0	0
2025-08-12	15:24:54[231]	17920	-17664	26368	315.412192741402	0	0
2025-08-12	15:24:54[231]	-4352	-10240	15104	246.974507991472	0	0
2025-08-12	15:24:54[278]	-7424	-17920	30208	247.496471500233	0	0
2025-08-12	15:24:54[374]	12544	-26112	-26880	295.659264516967	0	0
2025-08-12	15:24:54[485]	7680	-27904	-23808	285.388467832759	0	0
2025-08-12	15:24:54[582]	7424	-27392	-21504	285.164460899738	0	0
2025-08-12	15:24:54[679]	6912	-27904	-22784	283.91249467652	0	0
2025-08-12	15:24:54[774]	7424	-28672	-22784	284.516699958855	0	0
2025-08-12	15:24:54[871]	7168	-26880	-21760	284.931417178138	0	0
2025-08-12	15:24:54[968]	5888	-27136	-22784	282.242331198874	0	0
2025-08-12	15:24:55[062]	7680	-27648	-21504	285.524110996754	0	0
2025-08-12	15:24:55[158]	8192	-26368	-22784	287.258954292904	0	0
2025-08-12	15:24:55[270]	14848	-25856	-23808	299.866916851513	0	0
2025-08-12	15:24:55[366]	-5632	-25344	-28928	257.471192290848	0	0
2025-08-12	15:24:55[462]	256	23296	-26368	89.3704013915897	0	0
2025-08-12	15:24:55[558]	2304	25088	-28672	84.7528610983836	256	0
2025-08-12	15:24:55[654]	-2304	-27648	-4096	265.236358309274	256	0
2025-08-12	15:24:55[751]	6912	-16128	24320	293.198590513648	256	0
2025-08-12	15:24:55[846]	-26368	-13824	-15104	207.666757292284	256	0
2025-08-12	15:24:55[959]	20224	-26624	12544	307.220862809086	256	0
2025-08-12	15:24:56[055]	10752	-19456	10496	298.926425835254	256	0
2025-08-12	15:24:56[149]	-9216	-15104	12800	238.609731895812	256	0
2025-08-12	15:24:56[245]	5120	16896	-16896	73.1416012322617	256	0
2025-08-12	15:24:56[341]	-23552	12800	-15872	151.476881393688	256	0
2025-08-12	15:24:56[437]	768	-28160	27136	271.562224916842	256	0
2025-08-12	15:24:56[533]	-1024	28160	29696	92.0825652797309	256	0
2025-08-12	15:24:56[629]	6144	18688	-25344	71.8008349469546	512	0
2025-08-12	15:24:56[742]	8192	32512	-21760	75.8576533579673	512	0
2025-08-12	15:24:56[837]	6400	-28160	-22016	282.804266065287	512	0
2025-08-12	15:24:56[933]	5632	-28672	-22528	281.113040535948	512	0
2025-08-12	15:24:57[030]	7680	-27904	-23808	285.388467832759	512	0
