Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 10월 31일 16:55:02


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h) 	rel 	abs_rel 	threshold_t 	state
2025-10-31	16:55:02[680]	-118	-87	-241	216.400911289223	0	0	-568	568	30	0
2025-10-31	16:55:02[882]	-118	-94	-240	218.541183621281	0	0	-567	567	30	0
2025-10-31	16:55:03[080]	-119	-86	-236	215.855228346216	0	0	-563	563	30	0
2025-10-31	16:55:03[266]	-120	-92	-239	217.476179561361	0	0	-566	566	30	0
2025-10-31	16:55:03[464]	-116	-93	-232	218.7199928743	0	0	-559	559	30	0
2025-10-31	16:55:03[667]	-122	-87	-238	215.493228010734	0	0	-565	565	30	0
2025-10-31	16:55:03[896]	-121	-92	-241	217.246838125441	0	0	-568	568	30	0
2025-10-31	16:55:04[057]	-118	-86	-242	216.085073042852	0	0	-569	569	30	0
2025-10-31	16:55:04[246]	-120	-89	-234	216.563095868594	0	0	-561	561	30	0
2025-10-31	16:55:04[456]	-116	-97	-235	219.902600262021	0	0	-562	562	30	0
2025-10-31	16:55:04[643]	-120	-95	-229	218.367485384862	0	0	-556	556	30	0
2025-10-31	16:55:04[840]	-123	-90	-233	216.193207305565	0	0	-560	560	30	0
2025-10-31	16:55:05[035]	-120	-91	-236	217.174254833591	0	0	-563	563	30	0
2025-10-31	16:55:05[226]	-125	-90	-237	215.753887254437	0	0	-564	564	30	0
2025-10-31	16:55:05[432]	-121	-90	-228	216.6419315563	0	0	-555	555	30	0
2025-10-31	16:55:05[624]	-128	-93	-232	216.000748954161	0	0	-559	559	30	0
2025-10-31	16:55:05[817]	-125	-91	-231	216.054618166461	0	0	-558	558	30	0
2025-10-31	16:55:06[008]	-124	-88	-232	215.362461887069	0	0	-559	559	30	0
2025-10-31	16:55:06[215]	-124	-90	-232	215.972387049285	0	0	-559	559	30	0
2025-10-31	16:55:06[415]	-118	-91	-231	217.638922328422	0	0	-558	558	30	0
2025-10-31	16:55:06[605]	-122	-93	-233	217.318095383749	0	0	-560	560	30	0
2025-10-31	16:55:06[808]	-125	-89	-225	215.450866071264	0	0	-552	552	30	0
2025-10-31	16:55:07[010]	-124	-92	-227	216.573030978519	0	0	-554	554	30	0
2025-10-31	16:55:07[187]	-125	-91	-235	216.054618166461	0	0	-562	562	30	0
2025-10-31	16:55:07[393]	-124	-86	-237	214.743180158304	0	0	-564	564	30	0
2025-10-31	16:55:07[585]	-126	-89	-229	215.235442120112	0	0	-556	556	30	0
2025-10-31	16:55:07[776]	-124	-84	-228	214.114472945341	0	0	-555	555	30	0
2025-10-31	16:55:07[967]	-123	-93	-228	217.092837297042	0	0	-555	555	30	0
2025-10-31	16:55:08[177]	-126	-95	-235	217.015133784743	0	0	-562	562	30	0
2025-10-31	16:55:08[366]	-120	-87	-230	215.942111871382	0	0	-557	557	30	0
2025-10-31	16:55:08[575]	-123	-93	-233	217.092837297042	0	0	-560	560	30	0
2025-10-31	16:55:08[752]	-117	-95	-230	219.075418018018	0	0	-557	557	30	0
2025-10-31	16:55:08[959]	-126	-86	-232	214.315087599997	0	0	-559	559	30	0
2025-10-31	16:55:09[157]	-121	-93	-231	217.545701187252	0	0	-558	558	30	0
2025-10-31	16:55:09[343]	-125	-88	-230	215.145545499706	0	0	-557	557	30	0
2025-10-31	16:55:09[561]	-121	-89	-234	216.335864566892	0	0	-561	561	30	0
2025-10-31	16:55:09[749]	-119	-91	-233	217.405356631409	0	0	-560	560	30	0
2025-10-31	16:55:10[032]	-122	-89	-234	216.111057521575	0	0	-561	561	30	0
2025-10-31	16:55:10[235]	-127	-87	-231	214.412678681763	0	0	-558	558	30	0
2025-10-31	16:55:10[428]	-125	-91	-233	216.054618166461	0	0	-560	560	30	0
2025-10-31	16:55:10[614]	-127	-83	-230	213.166354693839	0	0	-557	557	30	0
2025-10-31	16:55:10[825]	-121	-90	-232	216.6419315563	0	0	-559	559	30	0
2025-10-31	16:55:11[015]	-119	-86	-233	215.855228346216	0	0	-560	560	30	0
2025-10-31	16:55:11[212]	-122	-82	-231	213.906276988442	0	0	-558	558	30	0
2025-10-31	16:55:11[401]	-122	-90	-238	216.416378519886	0	0	-565	565	30	0
2025-10-31	16:55:11[606]	-121	-90	-231	216.6419315563	0	0	-558	558	30	0
2025-10-31	16:55:11[797]	-121	-92	-231	217.246838125441	0	0	-558	558	30	0
2025-10-31	16:55:11[991]	-116	-91	-231	218.113572668568	0	0	-558	558	30	0
2025-10-31	16:55:12[182]	-122	-90	-228	216.416378519886	0	0	-555	555	30	0
2025-10-31	16:55:12[390]	-121	-93	-234	217.545701187252	0	0	-561	561	30	0
2025-10-31	16:55:12[586]	-118	-84	-236	215.445710327598	0	0	-563	563	30	0
2025-10-31	16:55:12[786]	-124	-93	-229	216.869897645844	0	0	-556	556	30	0
2025-10-31	16:55:12[971]	-122	-88	-232	215.803344108371	0	0	-559	559	30	0
2025-10-31	16:55:13[177]	-124	-88	-230	215.362461887069	0	0	-557	557	30	0
2025-10-31	16:55:13[361]	-122	-91	-230	216.719317757278	0	0	-557	557	30	0
2025-10-31	16:55:13[568]	-122	-91	-238	216.719317757278	0	0	-565	565	30	0
2025-10-31	16:55:13[767]	-126	-95	-232	217.015133784743	0	0	-559	559	30	0
2025-10-31	16:55:13[953]	-124	-87	-231	215.053995057583	0	0	-558	558	30	0
2025-10-31	16:55:14[142]	-122	-90	-233	216.416378519886	0	0	-560	560	30	0
2025-10-31	16:55:14[355]	-115	-92	-233	218.65980825409	0	0	-560	560	30	0
2025-10-31	16:55:14[542]	-119	-91	-231	217.405356631409	0	0	-558	558	30	0
2025-10-31	16:55:14[740]	-120	-89	-232	216.563095868594	0	0	-559	559	30	0
2025-10-31	16:55:14[934]	-122	-89	-236	216.111057521575	0	0	-563	563	30	0
2025-10-31	16:55:15[142]	-124	-88	-232	215.362461887069	0	0	-559	559	30	0
2025-10-31	16:55:15[330]	-125	-88	-235	215.145545499706	0	0	-562	562	30	0
2025-10-31	16:55:15[523]	-127	-92	-231	215.919927135973	0	0	-558	558	30	0
2025-10-31	16:55:15[711]	-122	-88	-232	215.803344108371	0	0	-559	559	30	0
2025-10-31	16:55:15[917]	-124	-88	-232	215.362461887069	0	0	-559	559	30	0
2025-10-31	16:55:16[111]	-120	-88	-231	216.253837737445	0	0	-558	558	30	0
2025-10-31	16:55:16[300]	-120	-89	-230	216.563095868594	0	0	-557	557	30	0
2025-10-31	16:55:16[507]	-123	-87	-239	215.272421448598	0	0	-566	566	30	0
2025-10-31	16:55:16[700]	-127	-87	-235	214.412678681763	0	0	-562	562	30	0
2025-10-31	16:55:16[907]	-123	-89	-229	215.888642955216	0	0	-556	556	30	0
2025-10-31	16:55:17[084]	-129	-87	-232	213.99645914825	0	0	-559	559	30	0
2025-10-31	16:55:17[286]	-125	-87	-230	214.837916805999	0	0	-557	557	30	0
2025-10-31	16:55:17[487]	-124	-87	-234	215.053995057583	0	0	-561	561	30	0
2025-10-31	16:55:17[688]	-123	-91	-236	216.495420759121	0	0	-563	563	30	0
2025-10-31	16:55:17[874]	-125	-89	-233	215.450866071264	0	0	-560	560	30	0
2025-10-31	16:55:18[064]	-122	-89	-230	216.111057521575	0	0	-557	557	30	0
2025-10-31	16:55:18[278]	-128	-89	-231	214.811371991547	0	0	-558	558	30	0
2025-10-31	16:55:18[482]	-127	-89	-232	215.022287379849	0	0	-559	559	30	0
2025-10-31	16:55:18[686]	-120	-94	-234	218.072781873991	0	0	-561	561	30	0
2025-10-31	16:55:18[859]	-123	-86	-230	214.960745212848	0	0	-557	557	30	0
2025-10-31	16:55:19[057]	-121	-88	-232	216.027373385104	0	0	-559	559	30	0
2025-10-31	16:55:19[247]	-126	-84	-228	213.69006752598	0	0	-555	555	30	0
2025-10-31	16:55:19[439]	-119	-89	-235	216.792783588082	0	0	-562	562	30	0
2025-10-31	16:55:19[631]	-120	-89	-230	216.563095868594	0	0	-557	557	30	0
2025-10-31	16:55:19[886]	-118	-82	-231	214.796026278268	0	0	-558	558	30	0
2025-10-31	16:55:20[031]	-119	-97	-229	219.184373470509	0	0	-556	556	30	0
2025-10-31	16:55:20[230]	-123	-90	-229	216.193207305565	0	0	-556	556	30	0
2025-10-31	16:55:20[415]	-125	-92	-229	216.353068292047	0	0	-556	556	30	0
2025-10-31	16:55:20[635]	-126	-88	-235	214.930937301111	0	0	-562	562	30	0
2025-10-31	16:55:20[814]	-122	-88	-231	215.803344108371	0	0	-558	558	30	0
2025-10-31	16:55:21[013]	-120	-95	-233	218.367485384862	0	0	-560	560	30	0
2025-10-31	16:55:21[207]	-123	-93	-234	217.092837297042	0	0	-561	561	30	0
2025-10-31	16:55:21[408]	-121	-94	-233	217.842186986384	0	0	-560	560	30	0
2025-10-31	16:55:21[599]	-122	-83	-234	214.228545839802	0	0	-561	561	30	0
2025-10-31	16:55:21[790]	-118	-85	-231	215.766676490723	0	0	-558	558	30	0
2025-10-31	16:55:21[986]	-121	-92	-228	217.246838125441	0	0	-555	555	30	0
2025-10-31	16:55:22[189]	-124	-92	-228	216.573030978519	0	0	-555	555	30	0
2025-10-31	16:55:22[393]	-119	-88	-231	216.482769891693	0	0	-558	558	30	0
2025-10-31	16:55:22[575]	-117	-89	-236	217.259658841162	0	0	-563	563	30	0
2025-10-31	16:55:22[788]	-127	-85	-238	213.794052492597	0	0	-565	565	30	0
2025-10-31	16:55:22[980]	-125	-91	-231	216.054618166461	0	0	-558	558	30	0
2025-10-31	16:55:23[179]	-127	-90	-233	215.323728900228	0	0	-560	560	30	0
2025-10-31	16:55:23[358]	-126	-85	-232	214.003727419113	0	0	-559	559	30	0
2025-10-31	16:55:23[553]	-122	-88	-235	215.803344108371	0	0	-562	562	30	0
2025-10-31	16:55:23[757]	-123	-89	-237	215.888642955216	0	0	-564	564	30	0
2025-10-31	16:55:23[946]	-120	-88	-230	216.253837737445	0	0	-557	557	30	0
2025-10-31	16:55:24[158]	-120	-93	-234	217.775684305955	0	0	-561	561	30	0
2025-10-31	16:55:24[344]	-119	-89	-234	216.792783588082	0	0	-561	561	30	0
2025-10-31	16:55:24[548]	-123	-87	-232	215.272421448598	0	0	-559	559	30	0
2025-10-31	16:55:24[733]	-119	-91	-233	217.405356631409	0	0	-560	560	30	0
2025-10-31	16:55:24[924]	-125	-91	-230	216.054618166461	0	0	-557	557	30	0
2025-10-31	16:55:25[132]	-120	-94	-238	218.072781873991	0	0	-565	565	30	0
2025-10-31	16:55:25[341]	-124	-91	-231	216.273864223701	0	0	-558	558	30	0
2025-10-31	16:55:25[526]	-122	-94	-235	217.613956848733	0	0	-562	562	30	0
2025-10-31	16:55:25[716]	-124	-92	-230	216.573030978519	0	0	-557	557	30	0
2025-10-31	16:55:25[916]	-127	-87	-236	214.412678681763	0	0	-563	563	30	0
