Magnetic Sensor Monitoring Program V1.0
회 사 명 : (주)래도
작성일자 : 2025년 11월 03일 13:31:49


날짜 	시간 	X축 	Y축 	Z축 	방위 	분당교통량(min/count) 	차량속도(km/h) 	rel 	abs_rel 	threshold_t 	state	X축 	Y축 	Z축 	방위 	분당교통량(min / count) 	차량속도(km / h) 	rel 	abs_rel 	threshold_t 	state	최종 분당교통량(min / count) 	최종 차량속도(km / h)
2025-11-03	13:31:49[116]	-170	-40	-276	193.240519915187	0	0	-586	586	30	0	82	29	-334	19.476575498932	1	0	-679	679	32	0	1	16.1
2025-11-03	13:37:14[487]	0	0	0	0	0	0	0	0	0	0	94	50	-309	28.0091767080138	0	0	-654	654	32	0	1	10.6
2025-11-03	13:54:09[558]	-282	-211	-301	216.804825806118	0	0	-752	752	30	0	83	282	19	73.5994602843547	1	0	-264	264	32	0	1	125.5
2025-11-03	13:58:37[146]	-275	38	-346	172.132586592606	0	0	-797	797	32	0	128	233	-144	61.2175331068184	3	0	-427	427	34	0	1	26.2
2025-11-03	13:59:09[610]	-400	-14	-246	182.004534032106	1	0	-697	697	36	0	160	205	-114	52.0283962389496	1	0	-397	397	32	0	2	4.3
2025-11-03	14:00:35[965]	-228	-250	-290	227.635184582451	0	0	-741	741	32	0	127	198	-166	57.3233134567059	3	0	-449	449	30	0	1	10.5
2025-11-03	14:15:02[936]	0	0	0	0	0	0	0	0	0	0	76	286	-358	75.1184702968595	1	0	-518	518	102	1	0	0.0
2025-11-03	14:15:03[123]	0	0	0	0	0	0	0	0	0	0	67	301	-367	77.4510390101063	1	0	-527	527	102	1	0	0.0
2025-11-03	14:15:03[332]	0	0	0	0	0	0	0	0	0	0	58	299	-372	79.0221063173133	1	0	-532	532	102	1	0	0.0
2025-11-03	14:15:03[519]	0	0	0	0	0	0	0	0	0	0	55	299	-378	79.5771570941702	1	0	-538	538	102	1	0	0.0
2025-11-03	14:15:03[712]	0	0	0	0	0	0	0	0	0	0	53	284	-385	79.4290759725776	1	0	-545	545	102	1	0	0.0
2025-11-03	14:15:03[920]	0	0	0	0	0	0	0	0	0	0	48	278	-407	80.2037900825255	1	0	-567	567	102	1	0	0.0
2025-11-03	14:15:04[112]	0	0	0	0	0	0	0	0	0	0	58	277	-425	78.173903296215	1	0	-585	585	102	1	0	0.0
2025-11-03	14:15:06[101]	0	0	0	0	0	0	0	0	0	0	67	264	-447	75.7596762570594	1	0	-607	607	102	1	0	0.0
2025-11-03	14:15:06[105]	0	0	0	0	0	0	0	0	0	0	94	252	-463	69.543686236722	1	0	-623	623	102	1	0	0.0
2025-11-03	14:15:06[111]	0	0	0	0	0	0	0	0	0	0	119	239	-467	63.5309215631682	1	0	-627	627	102	1	0	0.0
2025-11-03	14:15:06[116]	0	0	0	0	0	0	0	0	0	0	148	234	-460	57.68752137387	1	0	-620	620	102	1	0	0.0
2025-11-03	14:15:06[121]	0	0	0	0	0	0	0	0	0	0	182	235	-434	52.2433609597689	1	0	-594	594	102	1	0	0.0
2025-11-03	14:15:06[126]	0	0	0	0	0	0	0	0	0	0	210	232	-389	47.8494745606772	1	0	-549	549	102	1	0	0.0
2025-11-03	14:15:06[133]	0	0	0	0	0	0	0	0	0	0	219	219	-334	45	1	0	-494	494	102	1	0	0.0
2025-11-03	14:15:06[138]	0	0	0	0	0	0	0	0	0	0	203	198	-298	44.2856258042411	1	0	-458	458	102	1	0	0.0
2025-11-03	14:15:06[145]	0	0	0	0	0	0	0	0	0	0	184	181	-279	44.5290863888051	1	0	-439	439	102	1	0	0.0
2025-11-03	14:15:06[150]	0	0	0	0	0	0	0	0	0	0	169	171	-272	45.3370301098578	1	0	-432	432	102	1	0	0.0
2025-11-03	14:15:06[288]	0	0	0	0	0	0	0	0	0	0	165	178	-269	47.1705212535097	1	0	-429	429	102	1	0	0.0
2025-11-03	14:15:06[480]	0	0	0	0	0	0	0	0	0	0	167	188	-288	48.3853826506921	1	0	-448	448	102	1	0	0.0
2025-11-03	14:15:06[671]	0	0	0	0	0	0	0	0	0	0	127	200	-289	57.5844526701413	1	0	-449	449	102	1	0	0.0
2025-11-03	14:15:06[879]	0	0	0	0	0	0	0	0	0	0	90	218	-373	67.5670090778746	1	0	-533	533	102	1	0	0.0
2025-11-03	14:15:07[073]	0	0	0	0	0	0	0	0	0	0	208	221	-324	46.7357045889284	1	0	-484	484	102	1	0	0.0
2025-11-03	14:15:07[263]	0	0	0	0	0	0	0	0	0	0	204	177	-248	40.9464457681686	1	0	-408	408	102	1	0	0.0
2025-11-03	14:15:07[492]	0	0	0	0	0	0	0	0	0	0	173	181	-189	46.2945995181643	1	0	-349	349	102	1	0	0.0
2025-11-03	14:15:07[663]	0	0	0	0	0	0	0	0	0	0	140	169	-182	50.3615689806317	1	0	-342	342	102	1	0	0.0
2025-11-03	14:15:07[855]	0	0	0	0	0	0	0	0	0	0	132	166	-183	51.5089564405026	1	0	-343	343	102	1	0	0.0
2025-11-03	14:15:08[063]	0	0	0	0	0	0	0	0	0	0	123	172	-188	54.4308237067936	1	0	-348	348	102	1	0	0.0
2025-11-03	14:15:08[255]	0	0	0	0	0	0	0	0	0	0	119	162	-194	53.7001907991549	1	0	-354	354	102	1	0	0.0
2025-11-03	14:15:08[462]	0	0	0	0	0	0	0	0	0	0	119	168	-192	54.6887865603668	1	0	-352	352	102	1	0	0.0
2025-11-03	14:15:08[655]	0	0	0	0	0	0	0	0	0	0	115	167	-196	55.4478175494739	1	0	-356	356	102	1	0	0.0
2025-11-03	14:15:08[847]	0	0	0	0	0	0	0	0	0	0	125	164	-193	52.6855271483816	1	0	-353	353	102	1	0	0.0
2025-11-03	14:15:09[055]	0	0	0	0	0	0	0	0	0	0	119	170	-197	55.0079798014413	1	0	-357	357	102	1	0	0.0
2025-11-03	14:15:09[246]	0	0	0	0	0	0	0	0	0	0	115	159	-195	54.1228962053785	1	0	-355	355	102	1	0	0.0
2025-11-03	14:15:09[440]	0	0	0	0	0	0	0	0	0	0	119	170	-196	55.0079798014413	1	0	-356	356	102	1	0	0.0
2025-11-03	14:15:09[649]	0	0	0	0	0	0	0	0	0	0	111	169	-200	56.7029014802214	1	0	-360	360	102	1	0	0.0
2025-11-03	14:15:09[838]	0	0	0	0	0	0	0	0	0	0	119	168	-201	54.6887865603668	1	0	-361	361	102	1	0	0.0
2025-11-03	14:15:49[314]	0	0	0	0	0	0	0	0	0	0	118	196	-266	58.9503428133774	1	0	-426	426	102	1	0	0.0
2025-11-03	14:15:49[519]	0	0	0	0	0	0	0	0	0	0	121	193	-271	57.914632042321	1	0	-431	431	102	1	0	0.0
2025-11-03	14:15:49[711]	0	0	0	0	0	0	0	0	0	0	126	189	-268	56.3099324740202	1	0	-428	428	102	1	0	0.0
2025-11-03	14:15:49[987]	0	0	0	0	0	0	0	0	0	0	122	193	-261	57.7020225041278	1	0	-421	421	102	1	0	0.0
2025-11-03	14:15:50[110]	0	0	0	0	0	0	0	0	0	0	121	191	-260	57.645420396533	1	0	-420	420	102	1	0	0.0
2025-11-03	14:15:50[302]	0	0	0	0	0	0	0	0	0	0	116	193	-271	58.9926061728505	1	0	-431	431	102	1	0	0.0
2025-11-03	14:15:50[493]	0	0	0	0	0	0	0	0	0	0	120	197	-270	58.6528573567868	1	0	-430	430	102	1	0	0.0
2025-11-03	14:15:50[703]	0	0	0	0	0	0	0	0	0	0	123	191	-267	57.2193129232194	1	0	-427	427	102	1	0	0.0
2025-11-03	14:15:50[892]	0	0	0	0	0	0	0	0	0	0	120	194	-263	58.2608592041848	1	0	-423	423	102	1	0	0.0
2025-11-03	14:15:51[085]	0	0	0	0	0	0	0	0	0	0	118	192	-270	58.4258092497147	1	0	-430	430	102	1	0	0.0
2025-11-03	14:15:51[293]	0	0	0	0	0	0	0	0	0	0	119	197	-266	58.8654666874806	1	0	-426	426	102	1	0	0.0
2025-11-03	14:15:51[486]	0	0	0	0	0	0	0	0	0	0	120	188	-272	57.4499965078066	1	0	-432	432	102	1	0	0.0
2025-11-03	14:15:51[678]	0	0	0	0	0	0	0	0	0	0	115	191	-273	58.9480961843736	1	0	-433	433	102	1	0	0.0
2025-11-03	14:15:51[884]	0	0	0	0	0	0	0	0	0	0	126	191	-270	56.5877280160973	1	0	-430	430	102	1	0	0.0
2025-11-03	14:15:52[077]	0	0	0	0	0	0	0	0	0	0	119	199	-269	59.1210004763876	1	0	-429	429	102	1	0	0.0
2025-11-03	14:15:52[268]	0	0	0	0	0	0	0	0	0	0	123	191	-275	57.2193129232194	1	0	-435	435	102	1	0	0.0
2025-11-03	14:15:52[478]	0	0	0	0	0	0	0	0	0	0	124	196	-271	57.6803834918198	1	0	-431	431	102	1	0	0.0
2025-11-03	14:16:56[173]	0	0	0	0	0	0	0	0	0	0	113	194	-284	59.7803026708152	0	0	-444	444	102	1	0	0.0
2025-11-03	14:16:56[360]	0	0	0	0	0	0	0	0	0	0	113	185	-273	58.5829635298367	0	0	-433	433	102	1	0	0.0
2025-11-03	14:16:56[551]	0	0	0	0	0	0	0	0	0	0	111	190	-278	59.7060778699425	0	0	-438	438	102	1	0	0.0
2025-11-03	14:16:56[743]	0	0	0	0	0	0	0	0	0	0	114	190	-277	59.0362434679265	0	0	-437	437	102	1	0	0.0
2025-11-03	14:16:56[951]	0	0	0	0	0	0	0	0	0	0	113	187	-278	58.8563515016985	0	0	-438	438	102	1	0	0.0
2025-11-03	14:16:57[142]	0	0	0	0	0	0	0	0	0	0	115	186	-278	58.2723450069965	0	0	-438	438	102	1	0	0.0
2025-11-03	14:16:57[335]	0	0	0	0	0	0	0	0	0	0	113	194	-279	59.7803026708152	0	0	-439	439	102	1	0	0.0
2025-11-03	14:16:57[542]	0	0	0	0	0	0	0	0	0	0	117	194	-278	58.9061245859895	0	0	-438	438	102	1	0	0.0
2025-11-03	14:16:57[734]	0	0	0	0	0	0	0	0	0	0	117	192	-284	58.6429147759901	0	0	-444	444	102	1	0	0.0
2025-11-03	14:16:57[931]	0	0	0	0	0	0	0	0	0	0	122	190	-278	57.2952664229982	0	0	-438	438	102	1	0	0.0
2025-11-03	14:16:58[134]	0	0	0	0	0	0	0	0	0	0	119	192	-279	58.2097102141706	0	0	-439	439	102	1	0	0.0
2025-11-03	14:16:58[326]	0	0	0	0	0	0	0	0	0	0	115	192	-281	59.0801482712204	0	0	-441	441	102	1	0	0.0
2025-11-03	14:16:58[522]	0	0	0	0	0	0	0	0	0	0	120	190	-273	57.7243556854224	0	0	-433	433	102	1	0	0.0
2025-11-03	14:16:58[728]	0	0	0	0	0	0	0	0	0	0	111	185	-274	59.0362434679265	0	0	-434	434	102	1	0	0.0
2025-11-03	14:16:58[918]	0	0	0	0	0	0	0	0	0	0	117	189	-270	58.2405199151872	0	0	-430	430	102	1	0	0.0
2025-11-03	14:16:59[110]	0	0	0	0	0	0	0	0	0	0	115	193	-274	59.2111918692975	0	0	-434	434	102	1	0	0.0
2025-11-03	14:16:59[318]	0	0	0	0	0	0	0	0	0	0	116	188	-281	58.3245312618908	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:21[454]	0	0	0	0	0	0	0	0	0	0	118	182	-282	57.042575142885	0	0	-442	442	102	1	0	0.0
2025-11-03	14:19:21[461]	0	0	0	0	0	0	0	0	0	0	117	195	-287	59.0362434679265	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:21[467]	0	0	0	0	0	0	0	0	0	0	115	189	-288	58.6809253593194	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:21[471]	0	0	0	0	0	0	0	0	0	0	114	192	-288	59.3002774491856	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:21[475]	0	0	0	0	0	0	0	0	0	0	108	193	-288	60.7692565978418	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:21[481]	0	0	0	0	0	0	0	0	0	0	116	197	-294	59.509041119238	0	0	-454	454	102	1	0	0.0
2025-11-03	14:19:21[485]	0	0	0	0	0	0	0	0	0	0	116	184	-284	57.7712425649014	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:21[491]	0	0	0	0	0	0	0	0	0	0	117	188	-289	58.104326144697	0	0	-449	449	102	1	0	0.0
2025-11-03	14:19:21[496]	0	0	0	0	0	0	0	0	0	0	125	190	-287	56.659292653523	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:21[501]	0	0	0	0	0	0	0	0	0	0	117	184	-281	57.5489609898937	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:21[507]	0	0	0	0	0	0	0	0	0	0	113	188	-285	58.9914461513995	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:21[511]	0	0	0	0	0	0	0	0	0	0	113	193	-290	59.6513585718222	0	0	-450	450	102	1	0	0.0
2025-11-03	14:19:21[517]	0	0	0	0	0	0	0	0	0	0	116	192	-291	58.8610275630211	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:21[521]	0	0	0	0	0	0	0	0	0	0	117	188	-291	58.104326144697	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:21[526]	0	0	0	0	0	0	0	0	0	0	114	189	-277	58.9026871142206	0	0	-437	437	102	1	0	0.0
2025-11-03	14:19:21[530]	0	0	0	0	0	0	0	0	0	0	114	195	-288	59.6887867733184	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:21[535]	0	0	0	0	0	0	0	0	0	0	118	182	-284	57.042575142885	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:21[541]	0	0	0	0	0	0	0	0	0	0	114	194	-288	59.5602756193569	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:21[546]	0	0	0	0	0	0	0	0	0	0	112	188	-287	59.2158534736736	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:21[550]	0	0	0	0	0	0	0	0	0	0	114	191	-286	59.1687700924458	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:21[555]	0	0	0	0	0	0	0	0	0	0	114	193	-291	59.4307758822126	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:21[561]	0	0	0	0	0	0	0	0	0	0	119	189	-287	57.8042660652868	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:21[566]	0	0	0	0	0	0	0	0	0	0	110	194	-286	60.4463163676926	0	0	-446	446	102	1	0	0.0
2025-11-03	14:19:21[571]	0	0	0	0	0	0	0	0	0	0	122	190	-289	57.2952664229982	0	0	-449	449	102	1	0	0.0
2025-11-03	14:19:21[578]	0	0	0	0	0	0	0	0	0	0	118	184	-283	57.3277707113169	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:21[582]	0	0	0	0	0	0	0	0	0	0	121	189	-292	57.3721552505182	0	0	-452	452	102	1	0	0.0
2025-11-03	14:19:21[587]	0	0	0	0	0	0	0	0	0	0	118	185	-283	57.4687282699551	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:21[592]	0	0	0	0	0	0	0	0	0	0	118	188	-283	57.8851693997033	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:21[596]	0	0	0	0	0	0	0	0	0	0	112	193	-283	59.8729401832213	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:21[601]	0	0	0	0	0	0	0	0	0	0	113	189	-285	59.1254891582314	0	0	-445	445	102	1	0	0.0
2025-11-03	14:19:21[605]	0	0	0	0	0	0	0	0	0	0	116	185	-288	57.9111763953028	0	0	-448	448	102	1	0	0.0
2025-11-03	14:19:21[611]	0	0	0	0	0	0	0	0	0	0	119	193	-291	58.3428336984231	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:21[643]	0	0	0	0	0	0	0	0	0	0	118	189	-290	58.0218745346332	0	0	-450	450	102	1	0	0.0
2025-11-03	14:19:21[648]	0	0	0	0	0	0	0	0	0	0	114	186	-291	58.4957332807958	0	0	-451	451	102	1	0	0.0
2025-11-03	14:19:21[654]	0	0	0	0	0	0	0	0	0	0	117	186	-284	57.8287828714554	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:21[658]	0	0	0	0	0	0	0	0	0	0	120	187	-284	57.3112548800913	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:21[662]	0	0	0	0	0	0	0	0	0	0	112	184	-281	58.6713071321958	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:21[667]	0	0	0	0	0	0	0	0	0	0	120	187	-282	57.3112548800913	0	0	-442	442	102	1	0	0.0
2025-11-03	14:19:21[672]	0	0	0	0	0	0	0	0	0	0	115	185	-281	58.1340223063963	0	0	-441	441	102	1	0	0.0
2025-11-03	14:19:21[677]	0	0	0	0	0	0	0	0	0	0	108	192	-293	60.6422464572087	0	0	-453	453	102	1	0	0.0
2025-11-03	14:19:21[682]	0	0	0	0	0	0	0	0	0	0	112	190	-283	59.4817693211248	0	0	-443	443	102	1	0	0.0
2025-11-03	14:19:21[687]	0	0	0	0	0	0	0	0	0	0	112	194	-287	60.0013184604715	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:21[692]	0	0	0	0	0	0	0	0	0	0	116	190	-287	58.594836334075	0	0	-447	447	102	1	0	0.0
2025-11-03	14:19:21[697]	0	0	0	0	0	0	0	0	0	0	115	187	-284	58.4095958670941	0	0	-444	444	102	1	0	0.0
2025-11-03	14:19:21[703]	0	0	0	0	0	0	0	0	0	0	119	189	-291	57.8042660652868	0	0	-451	451	102	1	0	0.0
